102.563299665,735.777389946,-19.2034847706,568.351978293 
105.844442559,644.819019731,-15.803287562,572.61271133 
87.5001789078,630.003457057,-20.7333305409,559.169326459 
97.3766907823,642.598182089,-40.2466021158,545.213107592 
98.0336105888,646.454754205,-57.9937215057,606.374518621 
92.5616930103,651.04197065,-51.4025128258,641.996656058 
85.0088797288,655.277005517,-54.0302428436,651.968758739 
82.8449570392,653.784320867,-56.6598830439,656.657786748 
80.872853956,654.794135806,-55.7613462807,672.016954978 
80.9632707771,655.652386814,-57.3919197479,665.271310951 
80.8441747228,655.163122248,-55.3355405106,667.8564225 
80.7142103427,653.714575164,-55.3479584228,666.408426773 
80.6580846699,653.309283954,-55.019091593,663.244023811 
83.1689192835,655.540876997,-52.9519073531,663.059498776 
84.977695769,655.693041811,-53.1109909429,664.086248195 
85.1845315345,656.170636921,-53.3901204039,666.721960554 
84.9980026621,655.186635536,-53.0022764135,663.015468119 
84.8676308084,653.601581317,-53.074662494,663.934189974 
82.9703219796,655.915174949,-53.091302265,664.627623205 
83.1339392896,656.769255384,-54.9865660694,662.24601915 
82.910320989,655.396856393,-54.9432851675,662.137365612 
84.6980866096,653.576148368,-55.1139375421,663.423944887 
82.8841524337,655.313310188,-54.988748473,661.800006733 
82.4835102203,652.254220151,-54.9192120164,661.249588144 
84.3720966813,650.733185166,-55.1153560859,663.012505727 
84.7113306346,653.529693098,-54.97803891,660.612228216 
82.6810669096,653.588665736,-54.8667254182,661.030145637 
82.2598567535,650.575210353,-54.8384815369,659.992938862 
84.3438830517,650.279201424,-54.9511161759,661.432680205 
84.3792336546,651.145214025,-54.8929550481,660.360200286 
84.5649578717,651.762715894,-54.9195979429,660.877880331 
84.5797269146,652.354978296,-54.8814670942,660.80622683 
85.1716458752,656.630988752,-53.1399047397,663.889419829 
85.3335994791,657.79893099,-53.0648704078,665.401535093 
84.8228195163,654.247730761,-52.9553198122,662.866975121 
84.7043976848,652.88822168,-53.0654039092,664.281871794 
83.0837263377,656.495215062,-52.8395839702,661.643353959 
85.1832839485,657.269695406,-53.0273429979,663.282869381 
85.1857758096,656.720355402,-52.9415858855,662.789830946 
85.2913350166,658.216031151,-52.9966764235,663.942742933 
85.1700075189,656.080336968,-53.0425510717,663.859012316 
85.0284180327,656.006733383,-53.0328093927,664.979027807 
85.283381379,657.531159702,-53.2202878482,664.887557048 
85.5182766684,659.745882903,-53.1999776952,665.697923282 
85.0561269782,656.003353914,-53.0956899482,664.974217215 
85.0686657658,656.00227718,-53.1927237781,665.120519983 
85.2864489783,657.026481824,-53.2382880107,667.005502373 
